language,llm,embedding,top_k,q_index10,n,EM_mean,F1_mean,ROUGE_L_mean,LEV_SIM_mean,ACC_rouge70,ACC_lev80,gold_score_mean,fact_cons_mean,halluc_rate_mean,groundedness_mean,retrieval_support_mean,lat_total_s_mean,lat_gen_s_mean,lat_ret_s_mean,tok_total_mean,tok_prompt_mean,tok_comp_mean,tps_mean,EM_ci_lo,EM_ci_hi,F1_ci_lo,F1_ci_hi,ROUGE_L_ci_lo,ROUGE_L_ci_hi
ca,deepseek-r1,all-minilm,3,1,1,0.0,0.0,0.0,0.11940298507462688,0.0,0.0,0.0,7.52,0.248,0.752,0.738,43.42949,43.40782,0.02166,675.0,358.0,317.0,9.831328670109812,0.0,0.0,0.0,0.0,0.0,0.0
ca,deepseek-r1,all-minilm,3,2,1,0.0,0.0,0.0,0.07894736842105265,0.0,0.0,8.5,6.8,0.32,0.68,0.626,37.01301,34.95019,2.0628,592.0,356.0,236.0,9.920885394966044,0.0,0.0,0.0,0.0,0.0,0.0
ca,deepseek-r1,all-minilm,3,3,1,0.0,0.0,0.0,0.11340206185567014,0.0,0.0,0.0,7.47,0.253,0.747,0.575,53.77836,51.709900000000005,2.06844,754.0,363.0,391.0,9.65037943909803,0.0,0.0,0.0,0.0,0.0,0.0
ca,deepseek-r1,all-minilm,3,4,1,0.0,0.09523809523809523,0.09523809523809523,0.2584269662921348,0.0,0.0,1.5,7.53,0.247,0.753,0.705,43.46102,41.40503,2.05598,658.0,375.0,283.0,9.35526817332412,0.0,0.0,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523
ca,deepseek-r1,all-minilm,3,5,1,0.0,0.3846153846153846,0.3846153846153846,0.30107526881720426,0.0,0.0,9.5,8.5,0.15,0.85,0.812,47.64343,45.58072,2.06269,689.0,375.0,314.0,9.122198681365264,0.0,0.0,0.3846153846153846,0.3846153846153846,0.3846153846153846,0.3846153846153846
ca,deepseek-r1,all-minilm,3,6,1,0.0,0.7272727272727274,0.7272727272727274,0.6075949367088608,1.0,0.0,9.5,8.1,0.19,0.81,0.791,33.56329,31.50252,2.06076,573.0,371.0,202.0,9.95413087216232,0.0,0.0,0.7272727272727274,0.7272727272727274,0.7272727272727274,0.7272727272727274
ca,deepseek-r1,all-minilm,3,7,1,0.0,0.42105263157894735,0.42105263157894735,0.38181818181818183,0.0,0.0,8.4,7.69,0.231,0.769,0.68,42.58871,40.51475,2.07395,663.0,375.0,288.0,9.810401656851486,0.0,0.0,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735
ca,deepseek-r1,all-minilm,3,8,1,0.0,0.07407407407407407,0.07407407407407407,0.18487394957983194,0.0,0.0,1.5,8.42,0.158,0.842,0.624,82.82450999999999,80.76139,2.0631,1010.0,379.0,631.0,9.063332664063909,0.0,0.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
ca,deepseek-r1,all-minilm,3,9,1,0.0,0.1904761904761905,0.1904761904761905,0.3384615384615385,0.0,0.0,2.5,7.7,0.23,0.77,0.767,76.58655999999999,74.52601,2.0605300000000004,953.0,377.0,576.0,9.090421255518418,0.0,0.0,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.1904761904761905
ca,deepseek-r1,all-minilm,3,10,1,0.0,0.09523809523809525,0.09523809523809525,0.09890109890109888,0.0,0.0,2.5,8.24,0.176,0.824,0.683,32.10757,30.04834,2.05921,566.0,379.0,187.0,9.917095994280752,0.0,0.0,0.09523809523809525,0.09523809523809525,0.09523809523809525,0.09523809523809525
ca,deepseek-r1,mxbai-embed-large,3,1,1,0.0,0.0,0.0,0.15254237288135597,0.0,0.0,0.0,7.74,0.226,0.774,0.711,51.20995,51.15168,0.05825,729.0,357.0,372.0,9.21260273256248,0.0,0.0,0.0,0.0,0.0,0.0
ca,deepseek-r1,mxbai-embed-large,3,2,1,0.0,0.0,0.0,0.06153846153846154,0.0,0.0,2.5,8.42,0.158,0.842,0.701,188.54386,186.42506,2.11879,1935.0,355.0,1580.0,8.995974371500706,0.0,0.0,0.0,0.0,0.0,0.0
ca,deepseek-r1,mxbai-embed-large,3,3,1,0.0,0.0,0.0,0.23076923076923073,0.0,0.0,0.0,8.0,0.2,0.8,0.728,38.12964,36.031589999999994,2.09804,596.0,359.0,237.0,9.390246372488392,0.0,0.0,0.0,0.0,0.0,0.0
ca,deepseek-r1,mxbai-embed-large,3,4,1,0.0,0.0,0.0,0.20833333333333337,0.0,0.0,1.5,7.83,0.217,0.783,0.725,38.73714,36.643730000000005,2.0934,601.0,361.0,240.0,9.285280397825982,0.0,0.0,0.0,0.0,0.0,0.0
ca,deepseek-r1,mxbai-embed-large,3,5,1,0.0,0.5555555555555556,0.5555555555555556,0.265625,0.0,0.0,9.5,9.25,0.075,0.925,0.851,38.24698,36.149629999999995,2.09734,595.0,354.0,241.0,9.502587004395286,0.0,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
ca,deepseek-r1,mxbai-embed-large,3,6,1,0.0,0.5714285714285714,0.5714285714285714,0.44859813084112155,0.0,0.0,9.5,9.41,0.059,0.941,0.858,33.44947,31.35728,2.09218,571.0,373.0,198.0,9.623311463029562,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
ca,deepseek-r1,mxbai-embed-large,3,7,1,0.0,0.5555555555555556,0.5555555555555556,0.2807017543859649,0.0,0.0,7.5,8.9,0.11,0.89,0.819,39.92691000000001,37.8322,2.0947,622.0,370.0,252.0,9.317859750326026,0.0,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
ca,deepseek-r1,mxbai-embed-large,3,8,1,0.0,0.09523809523809522,0.09523809523809522,0.20481927710843373,0.0,0.0,2.5,7.6,0.24,0.76,0.79,50.94634,48.851330000000004,2.095,720.0,370.0,350.0,9.192883961876635,0.0,0.0,0.09523809523809522,0.09523809523809522,0.09523809523809522,0.09523809523809522
ca,deepseek-r1,mxbai-embed-large,3,9,1,0.0,0.20689655172413796,0.20689655172413796,0.2222222222222222,0.0,0.0,2.5,9.66,0.034,0.966,0.869,35.966860000000004,33.85858,2.10827,595.0,366.0,229.0,9.939772013228945,0.0,0.0,0.20689655172413796,0.20689655172413796,0.20689655172413796,0.20689655172413796
ca,deepseek-r1,mxbai-embed-large,3,10,1,0.0,0.28571428571428575,0.28571428571428575,0.13793103448275867,0.0,0.0,2.5,9.06,0.094,0.906,0.867,46.5644,44.46729,2.0970999999999997,702.0,373.0,329.0,9.778495934825118,0.0,0.0,0.28571428571428575,0.28571428571428575,0.28571428571428575,0.28571428571428575
ca,deepseek-r1,nomic-embed-text,3,1,1,0.0,0.4615384615384615,0.4615384615384615,0.3508771929824561,0.0,0.0,9.5,8.89,0.111,0.889,0.813,37.73253,37.69623,0.03628,633.0,367.0,266.0,9.884708329458729,0.0,0.0,0.4615384615384615,0.4615384615384615,0.4615384615384615,0.4615384615384615
ca,deepseek-r1,nomic-embed-text,3,2,1,0.0,0.0,0.0,0.8571428571428572,0.0,1.0,9.5,7.26,0.274,0.726,0.726,48.98521,46.88096,2.10424,702.0,351.0,351.0,9.729394790425774,0.0,0.0,0.0,0.0,0.0,0.0
ca,deepseek-r1,nomic-embed-text,3,3,1,0.0,0.0,0.0,0.2142857142857143,0.0,0.0,2.5,8.23,0.177,0.823,0.746,51.834050000000005,49.75979,2.07425,735.0,377.0,358.0,9.185931345863004,0.0,0.0,0.0,0.0,0.0,0.0
ca,deepseek-r1,nomic-embed-text,3,4,1,0.0,0.5263157894736842,0.4210526315789474,0.3661971830985915,0.0,0.0,8.5,8.98,0.102,0.898,0.783,57.210370000000005,55.13662,2.07374,788.0,353.0,435.0,9.80949752844636,0.0,0.0,0.5263157894736842,0.5263157894736842,0.4210526315789474,0.4210526315789474
ca,deepseek-r1,nomic-embed-text,3,5,1,0.0,0.625,0.625,0.3695652173913043,0.0,0.0,9.5,9.15,0.085,0.915,0.86,35.488440000000004,33.41914,2.06929,566.0,351.0,215.0,9.491593143645714,0.0,0.0,0.625,0.625,0.625,0.625
ca,deepseek-r1,nomic-embed-text,3,6,1,0.0,0.5517241379310346,0.5517241379310346,0.4363636363636364,0.0,0.0,8.5,9.47,0.053,0.947,0.88,45.270309999999995,43.18946,2.0808299999999997,686.0,384.0,302.0,9.31805542908215,0.0,0.0,0.5517241379310346,0.5517241379310346,0.5517241379310346,0.5517241379310346
ca,deepseek-r1,nomic-embed-text,3,7,1,0.0,0.45454545454545453,0.45454545454545453,0.295774647887324,0.0,0.0,9.5,9.06,0.094,0.906,0.838,31.283240000000003,29.20796,2.07526,561.0,377.0,184.0,9.997546308729587,0.0,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
ca,deepseek-r1,nomic-embed-text,3,8,1,0.0,0.3809523809523809,0.3809523809523809,0.35365853658536583,0.0,0.0,8.5,8.59,0.141,0.859,0.777,32.801199999999994,30.69691,2.1042899999999998,571.0,375.0,196.0,9.865740956810162,0.0,0.0,0.3809523809523809,0.3809523809523809,0.3809523809523809,0.3809523809523809
ca,deepseek-r1,nomic-embed-text,3,9,1,0.0,0.11111111111111112,0.11111111111111112,0.20370370370370372,0.0,0.0,2.5,8.53,0.147,0.853,0.862,41.34711,39.24137,2.10573,660.0,381.0,279.0,9.820907480011462,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
ca,deepseek-r1,nomic-embed-text,3,10,1,0.0,0.30769230769230765,0.30769230769230765,0.20408163265306123,0.0,0.0,2.5,9.04,0.096,0.904,0.829,33.898160000000004,31.823610000000002,2.07454,595.0,394.0,201.0,9.62865556878684,0.0,0.0,0.30769230769230765,0.30769230769230765,0.30769230769230765,0.30769230769230765
ca,llama3,all-minilm,3,1,1,1.0,1.0,1.0,1.0,1.0,1.0,10.0,7.24,0.276,0.724,0.738,3.77446,3.75149,0.022949999999999998,365.0,357.0,8.0,14.22252563610246,1.0,1.0,1.0,1.0,1.0,1.0
ca,llama3,all-minilm,3,2,1,0.0,0.0,0.0,0.26086956521739135,0.0,0.0,8.5,7.58,0.242,0.758,0.626,5.92603,3.8708400000000003,2.05517,365.0,355.0,10.0,14.144697711543502,0.0,0.0,0.0,0.0,0.0,0.0
ca,llama3,all-minilm,3,3,1,0.0,0.0,0.0,0.16666666666666663,0.0,0.0,0.0,7.13,0.287,0.713,0.575,6.879479999999999,4.835850000000001,2.0436199999999998,382.0,362.0,20.0,13.809560635018835,0.0,0.0,0.0,0.0,0.0,0.0
ca,llama3,all-minilm,3,4,1,0.0,0.23529411764705882,0.23529411764705882,0.2692307692307693,0.0,0.0,2.5,7.52,0.248,0.752,0.705,6.51766,4.4743699999999995,2.04327,394.0,376.0,18.0,13.774410359580983,0.0,0.0,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882
ca,llama3,all-minilm,3,5,1,0.0,0.5454545454545454,0.5454545454545454,0.3827160493827161,0.0,0.0,9.8,8.55,0.145,0.855,0.812,7.2024300000000006,5.158390000000001,2.04402,404.0,377.0,27.0,13.539747961102009,0.0,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
ca,llama3,all-minilm,3,6,1,0.0,0.8888888888888888,0.8888888888888888,0.98,1.0,1.0,10.0,7.76,0.224,0.776,0.791,6.598520000000001,4.54588,2.05263,389.0,372.0,17.0,13.893161262989697,0.0,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
ca,llama3,all-minilm,3,7,1,0.0,0.4347826086956522,0.4347826086956522,0.21250000000000002,0.0,0.0,8.5,8.3,0.17,0.83,0.68,7.13363,5.08351,2.05011,401.0,375.0,26.0,13.560160748404048,0.0,0.0,0.4347826086956522,0.4347826086956522,0.4347826086956522,0.4347826086956522
ca,llama3,all-minilm,3,8,1,0.0,0.6666666666666667,0.5333333333333333,0.5192307692307692,0.0,0.0,4.5,7.07,0.293,0.707,0.624,6.453,4.400720000000001,2.05227,396.0,382.0,14.0,13.970124887927168,0.0,0.0,0.6666666666666667,0.6666666666666667,0.5333333333333333,0.5333333333333333
ca,llama3,all-minilm,3,9,1,0.0,0.11764705882352941,0.11764705882352941,0.20454545454545459,0.0,0.0,2.5,7.8,0.22,0.78,0.767,6.03413,3.98801,2.04611,387.0,375.0,12.0,14.283707764861605,0.0,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941
ca,llama3,all-minilm,3,10,1,0.0,0.30769230769230765,0.30769230769230765,0.14754098360655743,0.0,0.0,9.5,8.31,0.169,0.831,0.683,6.6554899999999995,4.6033800000000005,2.0521,398.0,378.0,20.0,13.75948097036263,0.0,0.0,0.30769230769230765,0.30769230769230765,0.30769230769230765,0.30769230769230765
ca,llama3,mxbai-embed-large,3,1,1,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,1.0,7.76,0.224,0.776,0.711,10.869909999999999,10.81096,0.058929999999999996,364.0,358.0,6.0,15.72544628816566,0.0,0.0,0.0,0.0,0.0,0.0
ca,llama3,mxbai-embed-large,3,2,1,0.0,0.0,0.0,0.26086956521739135,0.0,0.0,8.5,8.5,0.15,0.85,0.701,13.248280000000001,11.15505,2.0932199999999996,364.0,354.0,10.0,15.099818862572926,0.0,0.0,0.0,0.0,0.0,0.0
ca,llama3,mxbai-embed-large,3,3,1,0.0,0.0,0.0,0.2432432432432432,0.0,0.0,0.0,8.11,0.189,0.811,0.728,13.43703,11.34074,2.09628,373.0,360.0,13.0,14.468194789980798,0.0,0.0,0.0,0.0,0.0,0.0
ca,llama3,mxbai-embed-large,3,4,1,0.0,0.39999999999999997,0.26666666666666666,0.13953488372093026,0.0,0.0,1.5,7.53,0.247,0.753,0.725,14.02489,11.918629999999999,2.10625,381.0,362.0,19.0,13.147719822090592,0.0,0.0,0.39999999999999997,0.39999999999999997,0.26666666666666666,0.26666666666666666
ca,llama3,mxbai-embed-large,3,5,1,0.0,0.5454545454545454,0.5454545454545454,0.3827160493827161,0.0,0.0,9.5,9.65,0.035,0.965,0.851,14.8321,12.7375,2.09459,385.0,358.0,27.0,13.407271289579878,0.0,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
ca,llama3,mxbai-embed-large,3,6,1,0.0,0.8421052631578948,0.8421052631578948,0.8888888888888888,1.0,1.0,9.5,8.71,0.129,0.871,0.858,13.8862,11.807979999999999,2.07821,393.0,374.0,19.0,14.12972215314358,0.0,0.0,0.8421052631578948,0.8421052631578948,0.8421052631578948,0.8421052631578948
ca,llama3,mxbai-embed-large,3,7,1,0.0,0.5263157894736842,0.5263157894736842,0.2622950819672131,0.0,0.0,8.5,9.04,0.096,0.904,0.819,13.97381,11.86083,2.11296,391.0,371.0,20.0,14.235932247497091,0.0,0.0,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
ca,llama3,mxbai-embed-large,3,8,1,0.0,0.0,0.0,0.28125,0.0,0.0,1.5,8.1,0.19,0.81,0.79,12.91171,10.82756,2.08413,377.0,371.0,6.0,16.06464842918529,0.0,0.0,0.0,0.0,0.0,0.0
ca,llama3,mxbai-embed-large,3,9,1,0.0,0.35294117647058826,0.35294117647058826,0.43181818181818177,0.0,0.0,2.5,8.99,0.101,0.899,0.869,13.55694,11.46367,2.09327,381.0,366.0,15.0,14.512486398172124,0.0,0.0,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826
ca,llama3,mxbai-embed-large,3,10,1,0.0,0.5,0.5,0.30000000000000004,0.0,0.0,8.5,7.97,0.203,0.797,0.867,13.164280000000002,11.078629999999999,2.08563,383.0,374.0,9.0,15.10972429957614,0.0,0.0,0.5,0.5,0.5,0.5
ca,llama3,nomic-embed-text,3,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.11,0.189,0.811,0.813,11.40884,11.37159,0.03723,375.0,367.0,8.0,14.200556590815577,1.0,1.0,1.0,1.0,1.0,1.0
ca,llama3,nomic-embed-text,3,2,1,0.0,0.0,0.0,0.26086956521739135,0.0,0.0,7.5,8.43,0.157,0.843,0.726,13.30814,11.231200000000001,2.07693,361.0,351.0,10.0,13.928073201495764,0.0,0.0,0.0,0.0,0.0,0.0
ca,llama3,nomic-embed-text,3,3,1,0.0,0.0,0.0,0.22448979591836737,0.0,0.0,0.0,7.44,0.256,0.744,0.746,13.5871,11.517520000000001,2.06957,390.0,376.0,14.0,13.576964855929493,0.0,0.0,0.0,0.0,0.0,0.0
ca,llama3,nomic-embed-text,3,4,1,0.0,0.7272727272727273,0.7272727272727273,0.6976744186046512,1.0,0.0,8.5,7.82,0.218,0.782,0.783,13.094190000000001,11.03036,2.06382,363.0,355.0,8.0,14.565342859067565,0.0,0.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273
ca,llama3,nomic-embed-text,3,5,1,0.0,0.7142857142857143,0.7142857142857143,0.45945945945945943,1.0,0.0,9.5,9.2,0.08,0.92,0.86,13.966190000000001,11.89482,2.07135,368.0,354.0,14.0,13.058708689591231,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
ca,llama3,nomic-embed-text,3,6,1,0.0,0.8421052631578948,0.8421052631578948,0.8888888888888888,1.0,1.0,9.5,8.97,0.103,0.897,0.88,14.229049999999999,12.17367,2.05537,402.0,383.0,19.0,13.24188718358162,0.0,0.0,0.8421052631578948,0.8421052631578948,0.8421052631578948,0.8421052631578948
ca,llama3,nomic-embed-text,3,7,1,0.0,0.4347826086956522,0.4347826086956522,0.21794871794871795,0.0,0.0,7.5,9.14,0.086,0.914,0.838,14.58157,12.522129999999999,2.05943,403.0,377.0,26.0,12.88840765557535,0.0,0.0,0.4347826086956522,0.4347826086956522,0.4347826086956522,0.4347826086956522
ca,llama3,nomic-embed-text,3,8,1,0.0,0.5,0.5,0.4642857142857143,0.0,0.0,6.5,8.83,0.117,0.883,0.777,13.64257,11.57747,2.06509,392.0,377.0,15.0,13.58061889958599,0.0,0.0,0.5,0.5,0.5,0.5
ca,llama3,nomic-embed-text,3,9,1,0.0,0.10526315789473685,0.10526315789473685,0.2941176470588235,0.0,0.0,1.0,8.18,0.182,0.818,0.862,13.58696,11.48551,2.10144,395.0,381.0,14.0,13.8826114144021,0.0,0.0,0.10526315789473685,0.10526315789473685,0.10526315789473685,0.10526315789473685
ca,llama3,nomic-embed-text,3,10,1,0.0,0.4444444444444444,0.4444444444444444,0.20588235294117652,0.0,0.0,2.0,8.17,0.183,0.817,0.829,13.41494,11.33059,2.08434,405.0,394.0,11.0,14.627467005421073,0.0,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
ca,mistral,all-minilm,3,1,1,1.0,1.0,1.0,1.0,1.0,1.0,10.0,7.38,0.262,0.738,0.738,10.82404,10.794319999999999,0.0297,411.0,404.0,7.0,16.5046927557131,1.0,1.0,1.0,1.0,1.0,1.0
ca,mistral,all-minilm,3,2,1,0.0,0.0,0.0,0.26086956521739135,0.0,0.0,8.5,7.58,0.242,0.758,0.626,13.19892,11.14752,2.05138,412.0,401.0,11.0,15.00167814226855,0.0,0.0,0.0,0.0,0.0,0.0
ca,mistral,all-minilm,3,3,1,0.0,0.0,0.0,0.21311475409836067,0.0,0.0,0.0,7.32,0.268,0.732,0.575,14.04733,12.00604,2.04128,433.0,410.0,23.0,14.38143299474646,0.0,0.0,0.0,0.0,0.0,0.0
ca,mistral,all-minilm,3,4,1,0.0,0.13333333333333333,0.13333333333333333,0.22916666666666663,0.0,0.0,4.5,7.25,0.275,0.725,0.705,13.33937,11.285639999999999,2.05371,446.0,432.0,14.0,15.380689083435074,0.0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
ca,mistral,all-minilm,3,5,1,0.0,0.3225806451612903,0.3225806451612903,0.1461538461538462,0.0,0.0,9.5,8.62,0.138,0.862,0.812,15.27377,13.22352,2.05023,470.0,429.0,41.0,14.364550643396983,0.0,0.0,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.3225806451612903
ca,mistral,all-minilm,3,6,1,0.0,0.8421052631578948,0.8421052631578948,0.8888888888888888,1.0,1.0,8.5,8.12,0.188,0.812,0.791,13.86567,11.7901,2.07556,445.0,424.0,21.0,14.823992617934037,0.0,0.0,0.8421052631578948,0.8421052631578948,0.8421052631578948,0.8421052631578948
ca,mistral,all-minilm,3,7,1,0.0,0.3,0.3,0.19718309859154926,0.0,0.0,8.5,8.44,0.156,0.844,0.68,14.223360000000001,12.17591,2.04743,454.0,428.0,26.0,14.521591204473276,0.0,0.0,0.3,0.3,0.3,0.3
