language,llm,embedding,n,EM_mean,F1_mean,ROUGE_L_mean,LEV_SIM_mean,ACC_rouge70,ACC_lev80,gold_score_mean,fact_cons_mean,halluc_rate_mean,groundedness_mean,retrieval_support_mean,lat_total_s_mean,lat_gen_s_mean,lat_ret_s_mean,tok_total_mean,tok_prompt_mean,tok_comp_mean,tps_mean,EM_ci_lo,EM_ci_hi,F1_ci_lo,F1_ci_hi,ROUGE_L_ci_lo,ROUGE_L_ci_hi
ca,llama3,nomic-embed-text,10,0.1,0.476815391575117,0.476815391575117,0.47136165603231905,0.4,0.2,5.3,8.429,0.1571,0.8429,0.8114000000000001,13.481955,11.613486,1.868457,385.4,371.5,13.9,13.755063835546576,0.0,0.3,0.2633392398981644,0.6834408030946931,0.2633392398981644,0.6834408030946931
en,llama3,all-minilm,10,0.1,0.4944521815062938,0.4695437565978689,0.4336023453027028,0.2,0.2,6.640000000000001,8.179,0.18209999999999998,0.8179000000000001,0.7013999999999999,5.987489999999999,4.13277,1.8547090000000002,290.0,274.2,15.8,14.318627243679387,0.0,0.3,0.3388849210252663,0.6631182240102517,0.30528080511380756,0.6465377881921998
es,llama3,nomic-embed-text,10,0.1,0.47846948373264164,0.4630848683480262,0.4602517032172514,0.2,0.2,6.0200000000000005,8.457,0.15430000000000002,0.8456999999999999,0.8059000000000001,14.132004999999998,12.240234,1.8917570000000006,375.1,359.4,15.7,13.807459301945755,0.0,0.3,0.27137205776679457,0.6771550992866782,0.25554313230629017,0.6678730158730157
es,llama3,all-minilm,10,0.1,0.4660714285714286,0.45357142857142857,0.4641475507249472,0.2,0.2,5.12,7.433,0.2567,0.7433,0.6988,7.066301,5.205706999999999,1.8605790000000002,370.0,355.8,14.2,14.239352504292821,0.0,0.3,0.2569345238095238,0.6794295634920631,0.23765873015873015,0.6757936507936507
en,llama3,nomic-embed-text,10,0.0,0.4702709694957979,0.43821968744451584,0.38251034669798967,0.1,0.1,6.2,8.549,0.14509999999999998,0.8549,0.7971,13.327577,11.454155,1.873408,292.8,277.2,15.6,14.149868929567043,0.0,0.0,0.35280725250626566,0.5824509439359268,0.31215211871461873,0.5609272192338552
es,llama3,mxbai-embed-large,10,0.1,0.45916971916971916,0.43267399267399265,0.4063436025795354,0.2,0.2,5.5,8.867,0.1133,0.8866999999999999,0.8126999999999999,14.047002,12.158198,1.8887919999999998,372.7,355.8,16.9,14.416383541687432,0.0,0.3,0.25246031746031744,0.6653791208791207,0.23326923076923078,0.6419444444444441
es,mistral,mxbai-embed-large,10,0.1,0.4522355912061794,0.42870617944147354,0.42473851524446704,0.2,0.2,5.8,8.743,0.12569999999999998,0.8743000000000001,0.8126999999999999,13.246796999999997,11.355096,1.891687,437.5,418.5,19.0,14.740493857190248,0.0,0.3,0.26334670231729057,0.6522608437314318,0.23880718954248364,0.635650623885918
en,llama3,mxbai-embed-large,10,0.0,0.4505844301896934,0.42686648147174466,0.388387358716778,0.1,0.1,6.39,8.440000000000001,0.15599999999999997,0.844,0.7839,13.134528,11.249457,1.8850569999999998,291.8,277.1,14.7,14.692568734633458,0.0,0.0,0.3288885142635143,0.5754979691361269,0.2972097902097902,0.5601247312628891
ca,llama3,all-minilm,10,0.1,0.41964261938686487,0.4063092860535316,0.4143300257880324,0.2,0.2,6.58,7.726000000000001,0.2274,0.7726000000000001,0.7001000000000001,6.317483,4.471244,1.846225,388.1,370.9,17.2,13.895757793789292,0.0,0.3,0.2140000685588921,0.6352642746568575,0.20635320348875336,0.6171385505656604
en,mistral,nomic-embed-text,10,0.1,0.447025012025012,0.3923160173160173,0.3499588121604722,0.1,0.1,7.42,8.719,0.12810000000000002,0.8718999999999999,0.7971,13.115509999999997,11.24675,1.8687469999999997,361.2,342.2,19.0,14.072514659199566,0.0,0.3,0.31016125541125544,0.6027649110149107,0.2630164141414142,0.5565483405483405
es,deepseek-r1,nomic-embed-text,10,0.1,0.388001401725658,0.388001401725658,0.37323570087738045,0.2,0.1,5.5,8.844999999999999,0.1155,0.8844999999999998,0.8059000000000001,36.121317,34.220355,1.9009500000000004,582.9,359.5,223.4,9.789812105052357,0.0,0.3,0.21398653253687575,0.5830557359307358,0.21398653253687575,0.5830557359307358
ca,mistral,all-minilm,10,0.1,0.3492990001886437,0.3492990001886437,0.3768542170854343,0.2,0.2,6.2,7.819,0.21810000000000002,0.7818999999999999,0.7001000000000001,13.809209000000001,11.957335000000002,1.8518590000000004,444.4,421.9,22.5,14.670717522070806,0.0,0.3,0.1611789756649689,0.5607115638558762,0.1611789756649689,0.5607115638558762
ca,deepseek-r1,nomic-embed-text,10,0.0,0.3418879643244434,0.3313616485349698,0.36516503220940144,0.0,0.1,7.1,8.719999999999999,0.128,0.8720000000000001,0.8114000000000001,41.585062,39.705205,1.879845,649.7,371.0,278.7,9.673203088125979,0.0,0.0,0.2049527376359273,0.47090578677976586,0.19851551956815114,0.45562603477133873
es,mistral,nomic-embed-text,10,0.0,0.32977251506663274,0.3183346065699007,0.30422148900552826,0.1,0.1,4.1,8.745,0.1255,0.8744999999999999,0.8059000000000001,13.946074000000001,12.070423,1.87564,448.5,421.7,26.8,14.087083289455427,0.0,0.0,0.1672749554367201,0.5124987267634326,0.15135843731431967,0.5038362617774382
en,deepseek-r1,mxbai-embed-large,10,0.0,0.33418110493625364,0.31413097962297043,0.2565661844693633,0.0,0.0,7.9,8.742,0.1258,0.8741999999999999,0.7839,55.821663000000015,53.92916,1.892492,681.4,277.2,404.2,9.526350259715205,0.0,0.0,0.23834177835894083,0.4258370927318294,0.22019913915222838,0.4053793723439031
